area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
A00a Kop Zeedijk,458.0,42.0,113.0,12.0,12.0,27.0,19.0,683.0,0,65.1918982082576,860.2567894112397,0.0,3851.0
A00b Oude Kerk e.o.,295.0,14.0,88.0,7.0,7.0,28.0,17.0,456.0,0,72.98379629629629,934.5260092956428,0.001966748451756217,3456.0
A00c Burgwallen Oost,638.0,58.0,184.0,32.0,33.0,38.0,35.0,1018.0,0,70.9340746624305,933.9418097114432,0.002870939638860014,3777.0
A00d Nes e.o.,145.0,12.0,49.0,7.0,5.0,5.0,14.0,237.0,0,84.2732602600051,965.8827704063306,0.004898674702402913,3923.0
A00e BG-terrein e.o.,270.0,23.0,55.0,21.0,8.0,18.0,4.0,399.0,0,82.38860759493672,1024.6520011755613,0.00618208924413483,3950.0
A01a Stationsplein e.o.,523.3676148796499,93.62700228832952,1.0,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,899.8534842896654,0,83.57613884316903,698.3644730110699,0.00404223726295187,3125.301047120419
A01b Hemelrijk,260.0,13.0,67.0,5.0,7.0,10.0,10.0,372.0,0,64.73171936758894,737.0948286183888,0.002549061062926708,4048.0
A01c Nieuwendijk Noord,169.0,17.0,68.0,11.0,5.0,7.0,8.0,285.0,0,65.62981015905592,783.4883858889094,0.0013982910998802639,3898.0
A01d Spuistraat Noord,352.0,28.0,105.0,13.0,12.0,11.0,24.0,545.0,0,72.75467119631158,875.0033525269127,0.0010725063414699046,4121.0
A01e Nieuwe Kerk e.o.,338.0,30.0,128.0,17.0,11.0,9.0,12.0,545.0,0,66.55680963130173,899.9299615765584,0.0014657317660456619,3987.0
A01f Spuistraat Zuid,337.0,21.0,71.0,12.0,13.0,21.0,6.0,481.0,0,79.79599499374218,957.221647745208,0.005160226455543753,3995.0
A01g Begijnhofbuurt,237.0,10.0,53.0,5.0,1.0,4.0,6.0,316.0,0,57.5377839592026,956.5584460820063,0.005097610052757662,4314.0
A01h Kalverdriehoek,100.0,14.0,38.0,3.0,2.0,5.0,10.0,172.0,0,78.63949013949014,1008.076743477267,0.007797582816001453,4158.0
A02a Langestraat e.o.,669.0,136.0,157.0,77.0,33.0,43.0,10.0,1125.0,0,110.58706356311549,721.8599013834615,0.0028668761204496728,4468.0
A02b Leliegracht e.o.,703.0,119.0,147.0,63.0,43.0,36.0,20.0,1131.0,0,115.40381165919283,832.4255913182615,0.0012990774611233251,4460.0
A02c Felix Meritisbuurt,830.0,150.0,187.0,78.0,45.0,51.0,24.0,1365.0,0,106.3766032728881,979.8058473294075,0.004562297070823875,4522.0
A02d Leidsegracht Noord,297.0,57.0,53.0,21.0,15.0,13.0,4.0,460.0,0,126.50022482014388,1026.3012757017993,0.008318979038920612,4448.0
A03a Spiegelbuurt,291.0,49.0,61.0,38.0,16.0,29.0,5.0,489.0,0,105.85805132863956,1018.543691698142,0.01107518224736833,4403.0
A03b Gouden Bocht,48.0,11.0,19.0,5.0,2.0,2.0,2.0,89.0,0,129.58463251670378,1025.1453505458742,0.009551379115206269,4490.0
A03c Van Loonbuurt,452.0,100.0,123.0,76.0,34.0,31.0,10.0,826.0,0,121.91957648118945,993.570294216891,0.012213425954762413,4439.0
A03d Amstelveldbuurt,581.0,101.0,116.0,73.0,31.0,33.0,13.0,948.0,0,112.8937230908679,991.1016915022151,0.012039296542982242,4413.0
A03e Rembrandtpleinbuurt,255.0,24.0,53.0,10.0,6.0,9.0,7.0,364.0,0,78.59353507565336,1013.3740407745643,0.009652639522560463,4362.0
A03f Reguliersbuurt,166.0,9.0,47.0,10.0,3.0,6.0,5.0,246.0,0,68.26763534098899,1025.1453505458742,0.009551379115206269,4267.0
A03g Leidsegracht Zuid,233.0,35.0,47.0,28.0,17.0,14.0,9.0,383.0,0,113.94182389937107,1012.6484690489926,0.00908371639597178,4452.0
A04a Oosterdokseiland,128.0,42.0,51.0,14.0,9.0,21.0,2.0,267.0,0,103.15814473316568,773.773835051322,0.0014539535756011776,3579.0
A04b Scheepvaarthuisbuurt,252.0,35.0,86.0,31.0,13.0,14.0,10.0,441.0,0,100.33307352559106,911.8357806054141,0.0017079245445816356,3849.0
A04c Rapenburg,307.0,52.0,115.0,43.0,18.0,38.0,18.0,591.0,0,76.0090884790163,920.1788159484495,0.0033688608000328937,3741.0
A04d Lastage,413.0,52.0,93.0,36.0,22.0,42.0,17.0,675.0,0,73.05490097768865,917.9958637654972,0.0017706546698831017,3989.0
A04e Nieuwmarkt,724.0,76.0,87.0,63.0,25.0,85.0,11.0,1071.0,0,70.28301391441323,959.6991923457891,0.004185636575238411,3809.0
A04f Uilenburg,510.0,89.0,97.0,25.0,16.0,45.0,5.0,787.0,0,74.53460559796437,969.358861882422,0.0054995079509433985,3930.0
A04g Valkenburg,483.0,70.0,81.0,64.0,10.0,35.0,9.0,752.0,0,80.85832414553472,1016.5946163642499,0.006751461975190405,3628.0
A04h Zuiderkerkbuurt,695.0,84.0,122.0,43.0,25.0,56.0,9.0,1034.0,0,84.31440060316662,1043.8147892153127,0.005969759610947046,3979.0
A04i Waterloopleinbuurt,381.0,47.0,80.0,26.0,16.0,34.0,7.0,591.0,0,75.47289234760052,1001.3318348553951,0.008041907076215537,3855.0
A05a Westerdokseiland,460.0,163.0,136.0,120.0,60.0,76.0,12.0,1027.0,0,97.65636087176888,525.2942114486617,0.00869811455503385,3946.0
A05b Haarlemmerbuurt Oost,664.0,72.0,110.0,52.0,33.0,48.0,9.0,988.0,0,72.75578344860482,655.1355814130683,0.004908378983945177,4193.0
A05c Haarlemmerbuurt West,891.0,131.0,175.0,103.0,56.0,117.0,17.0,1490.0,0,71.3881267148915,562.9921302696172,0.007404923146804711,4009.0
A05d Westelijke Eilanden,1061.0,181.0,180.0,134.0,77.0,115.0,17.0,1765.0,0,78.86873449131514,508.9684339998476,0.009745968388134412,4030.0
A05f Planciusbuurt Noord,177.0,7.0,31.0,8.0,10.0,13.0,1.0,247.0,0,47.521865184827256,464.9274798358568,0.01139517057232983,4139.0
A05g Planciusbuurt Zuid,96.0,9.0,7.0,1.0,4.0,9.0,15.697732997481108,141.6977329974811,0,55.70589777195282,514.1278912823415,0.009370479579646897,3815.0
A06a Driehoekbuurt,1249.0,135.0,229.0,80.0,63.0,100.0,17.0,1873.0,0,59.26270991488383,616.6802799577669,0.0060910022797990475,4347.0
A06c Bloemgrachtbuurt,1177.0,140.0,267.0,113.0,67.0,106.0,26.0,1896.0,0,76.42797687861271,878.6819344515679,0.0023421104163751662,4325.0
A06d Marnixbuurt Noord,636.0,94.0,93.0,56.0,25.0,65.0,11.0,980.0,0,60.96213971665853,637.4530428535664,0.005561385463403246,4094.0
A06e Zaagpoortbuurt,537.0,12.0,68.0,11.0,13.0,20.0,6.0,667.0,0,40.99488775283396,806.0991879918581,0.002334078066925862,4499.0
A06f Marnixbuurt Midden,67.0,10.0,30.0,6.0,5.0,6.0,15.697732997481108,139.6977329974811,0,75.84778669427905,945.9438887135223,0.0036860816557009743,3863.0
A06g Elandsgrachtbuurt,1901.0,218.0,330.0,145.0,72.0,173.0,29.0,2868.0,0,66.8029012203546,980.7143712379315,0.005285550916410678,4343.0
A06h Passeerdersgrachtbuurt,419.0,46.0,72.0,24.0,19.0,29.0,8.0,617.0,0,78.95609538667262,1018.7212341217577,0.0088206798803946,4487.0
A06i Groenmarktkadebuurt,71.0,9.0,27.0,1.0,7.0,5.0,3.0,123.0,0,65.01679841897233,993.0095895331497,0.005835909574559144,4048.0
A06j Marnixbuurt Zuid,356.0,26.0,43.0,12.0,11.0,8.0,6.0,462.0,0,58.70627906976744,1018.7773671778907,0.00910285429741234,4300.0
A06k Anjeliersbuurt Noord,826.0,107.0,157.0,86.0,67.0,89.0,14.0,1346.0,0,71.76735715911677,707.7559512795115,0.003827154881896785,4393.0
A06l Anjeliersbuurt Zuid,1317.0,138.0,183.0,96.0,75.0,131.0,18.0,1958.0,0,64.525005709066,774.1135396370998,0.0022699401445879196,4379.0
A07a Leidsebuurt Noordwest,127.0,13.0,34.0,2.0,4.0,3.0,5.0,188.0,0,61.321354526606775,1007.1910885916121,0.010674640241711391,4341.0
A07b Leidsebuurt Zuidwest,77.0,2.0,17.0,5.0,1.0,5.0,1.0,108.0,0,87.0368746776689,998.5833941069543,0.011548514056902317,3878.0
A07c Leidsebuurt Noordoost,413.0,29.0,135.0,16.0,16.0,13.0,24.0,646.0,0,70.83970377448638,1003.1648888114856,0.012507488406947138,4186.0
A07d Leidsebuurt Zuidoost,135.0,17.0,24.0,16.0,4.0,7.0,5.0,208.0,0,82.87265186630886,1011.7865104331073,0.013491399234784719,4099.0
A07e Weteringbuurt,878.0,125.0,255.0,98.0,49.0,66.0,17.0,1488.0,0,79.00278422273782,1006.2322441249142,0.014529253881046242,4310.0
A07f Den Texbuurt,339.0,72.0,79.0,62.0,26.0,25.0,15.0,618.0,0,107.11843654344243,958.725593495227,0.015969885631706968,4247.0
A07g Utrechtsebuurt Zuid,448.0,70.0,80.0,56.0,22.0,40.0,16.0,732.0,0,81.21686746987952,993.4339073265775,0.014209570465446634,4482.0
A07h Frederikspleinbuurt,320.0,72.0,59.0,45.0,27.0,24.0,9.0,556.0,0,97.25011195700851,947.0921237387206,0.01594301783924553,4466.0
A08a Weesperbuurt,1308.0,152.0,283.0,98.0,51.0,78.0,13.0,1983.0,0,72.76352509179927,993.9942092716961,0.011616118682671057,4085.0
A08b Sarphatistrook,957.0,94.0,183.0,74.0,47.0,56.0,26.0,1437.0,0,78.44352823588206,979.2738241664943,0.01419730661436917,4002.0
A08d de Plantage,667.0,116.0,151.0,84.0,53.0,61.0,16.0,1148.0,0,93.38894397620228,973.5813151048753,0.009314341311247745,4034.0
A08e Alexanderplein e.o.,147.0,13.0,33.0,15.0,14.0,14.0,5.0,241.0,0,75.67042667974498,912.4484603411305,0.012415177220238598,4078.0
A09a Marine-Etablissement,20.0,3.0,2.0,3.0,4.0,1.0,15.697732997481108,48.69773299748111,0,83.57613884316903,881.9127036823372,0.0021486192077708,3125.301047120419
A09b Kattenburg,630.0,120.0,91.0,85.0,40.0,64.0,6.0,1036.0,0,83.212927756654,901.9792317488652,0.003560611991287729,2893.0
A09c Wittenburg,827.0,101.0,131.0,94.0,50.0,140.0,15.0,1358.0,0,71.65869695158398,902.4802712499047,0.004545323784118497,3346.0
A09d Oostenburg,503.0,65.0,101.0,89.0,34.0,87.0,5.0,884.0,0,69.15838709677419,934.2370280066615,0.005712412296914672,3100.0
A09e Czaar Peterbuurt,774.0,68.0,154.0,72.0,53.0,91.0,17.0,1229.0,0,57.345008756567424,898.0181069107771,0.00673772987084565,3426.0
A09f Het Funen,236.0,68.0,86.0,112.0,67.0,35.0,10.0,614.0,0,96.28836469652796,904.1594790521492,0.007814783187805718,3773.0
A09h Kazernebuurt,361.0,44.0,66.0,35.0,23.0,48.0,5.0,582.0,0,79.64403570462537,934.5634313330648,0.010519445189267812,3697.0
A09i Kadijken,1047.0,172.0,190.0,121.0,64.0,114.0,14.0,1722.0,0,77.88655913978495,955.7145726072428,0.0075577221933877175,3720.0
B10a Coenhaven/Mercuriushaven,10.0,93.62700228832952,2.0,2.0,50.81190476190476,95.27446300715991,15.697732997481108,269.4111030548753,1,83.57613884316903,183.19462071818094,0.031705895158669166,3125.301047120419
B10b Alfa-driehoek,3.0,93.62700228832952,1.0,2.0,50.81190476190476,95.27446300715991,15.697732997481108,261.4111030548753,1,83.57613884316903,236.7808993044595,0.023025436219326467,3125.301047120419
B10c Petroleumhaven,9.0,1.0,2.0,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,293.858867121686,1,83.57613884316903,93.38296089081429,0.03564281420090595,3125.301047120419
B10d Westhaven Noord,10.0,1.0,117.13073394495413,2.0,50.81190476190476,95.27446300715991,1.0,277.2171017140188,1,83.57613884316903,73.1388904006705,0.03362869563646435,3125.301047120419
B10e Vervoerscentrum,1.0,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,493.61660335496964,1,83.57613884316903,200.27985980341998,0.02501000669877501,3125.301047120419
B10f Amerikahaven,30.0,93.62700228832952,117.13073394495413,120.07476635514018,1.0,2.0,15.697732997481108,379.53023558590496,1,83.57613884316903,32.48753687235362,0.038194360157752336,3125.301047120419
B10g Afrikahaven,3.0,93.62700228832952,117.13073394495413,1.0,50.81190476190476,95.27446300715991,15.697732997481108,376.54183699982946,1,83.57613884316903,12.99501474894145,0.041283914821060384,3125.301047120419
B10h Westhaven Zuid,4.0,93.62700228832952,1.0,120.07476635514018,50.81190476190476,95.27446300715991,1.0,365.78813641253436,1,83.57613884316903,127.42080743651422,0.019280363486200384,3125.301047120419
E12a Houthavens West,201.0,13.0,36.0,16.0,6.0,4.0,1.0,277.0,2,23.537010676156584,344.0605359689129,0.019307825756934356,2810.0
E12b Houthavens Oost,233.0,63.0,47.0,25.0,15.0,21.0,1.0,405.0,2,91.22838741639832,453.13144517856557,0.015943604069974592,4037.0
E13a Zeeheldenbuurt,615.0,73.0,134.0,88.0,58.0,119.0,10.0,1097.0,2,64.14347326049453,415.94328460558825,0.013757039132841946,3478.0
E13b Spaarndammerbuurt Noordoost,1036.0,110.0,153.0,147.0,51.0,171.0,18.0,1686.0,2,61.60781476121563,402.6328874182277,0.014396793957337093,3455.0
E13c Spaarndammerbuurt Zuidoost,337.0,68.0,83.0,41.0,26.0,54.0,8.0,617.0,2,59.303427719821165,440.01479792317485,0.012143192838069273,3355.0
E13d Spaarndammerbuurt Zuidwest,585.0,71.0,113.0,72.0,50.0,62.0,17.0,970.0,2,59.59014386287114,439.2619978012648,0.013198945751842757,3267.0
E13e Spaarndammerbuurt Midden,416.0,42.0,102.0,52.0,38.0,65.0,7.0,722.0,2,58.82757628094416,376.65595781040804,0.015354189275651705,3474.0
E13f Spaarndammerbuurt Noordwest,607.0,79.0,160.0,104.0,48.0,129.0,7.0,1134.0,2,61.271239954075774,409.3825799218469,0.01632028164616487,3484.0
E13g Westergasfabriek,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,2,83.57613884316903,462.71895375036735,0.011474179913619166,3125.301047120419
E13h Overbraker Binnenpolder,2.0,1.0,117.13073394495413,120.07476635514018,1.0,95.27446300715991,15.697732997481108,352.1776963047354,2,83.57613884316903,382.3025274569777,0.014192295445064737,3125.301047120419
E14a De Wittenbuurt Noord,488.0,56.0,115.0,66.0,43.0,56.0,7.0,831.0,2,66.45767769940315,554.6206147750651,0.008267730795089108,3686.0
E14b De Wittenbuurt Zuid,364.0,48.0,49.0,40.0,23.0,38.0,3.0,565.0,2,64.08613728129205,594.1536665541901,0.006579598847958795,3715.0
E14c Staatsliedenbuurt Noordoost,478.0,79.0,65.0,58.0,21.0,58.0,4.0,763.0,2,65.23089537553297,531.7245648790151,0.008997761577750087,3049.0
E14d Fannius Scholtenbuurt,1496.0,111.0,305.0,142.0,93.0,170.0,29.0,2346.0,2,54.23270104194496,554.1590763135265,0.008005268435383284,3743.0
